description,industry,level,size,line_code,value,Unit,footnotes
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Other wholesale trade,2,total,D0204.03,477,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Retail trade,1,total,D0204.03,939,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Accommodation & food services,1,total,D0204.03,1449,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Transport, postal, & warehousing",1,total,D0204.03,276,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Information media & telecommunications,1,total,D0204.03,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Publishing,2,total,D0204.03,12,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Motion picture,2,total,D0204.03,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Telecommunications,2,total,D0204.03,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Financial & insurance services,1,total,D0204.03,75,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Finance,2,total,D0204.03,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Insurance,2,total,D0204.03,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Auxiliary,2,total,D0204.03,45,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Rental, hiring, & real estate services",1,total,D0204.03,123,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Professional, scientific, & technical services",1,total,D0204.03,291,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Computer systems design,2,total,D0204.03,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Other professional scientific,2,total,D0204.03,276,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Administrative & support services,1,total,D0204.03,228,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Education & training,1,total,D0204.03,159,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Health care & social assistance,1,total,D0204.03,393,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Arts & recreation services,1,total,D0204.03,63,Number of businesses,1 and 2 and 3 and 6
